Date,Open,High,Low,Close,Volume
25-05-1994,1.987,2.0552,1.9578,2.0454,86003200
26-05-1994,2.0552,2.0552,1.9967,2.026,64296000
27-05-1994,2.0162,2.0552,1.9967,2.0408,47544000
31-05-1994,2.0357,2.0949,2.0213,2.0941,76000000
01-06-1994,2.0844,2.0844,2.0408,2.0649,100764800
02-06-1994,2.0747,2.0797,2.026,2.0357,60291200
03-06-1994,2.0454,2.0844,2.0357,2.0602,86841600
06-06-1994,2.0505,2.1284,2.0162,2.1234,764504000
07-06-1994,2.1039,2.1136,2.0844,2.0895,166171200
08-06-1994,2.0895,2.0895,2.0115,2.026,203835200
09-06-1994,2.0213,2.0478,2.0162,2.0357,79356800
10-06-1994,2.0357,2.0649,2.0213,2.0478,53726400
13-06-1994,2.0505,2.0797,2.0213,2.0602,56628800
14-06-1994,2.07,2.1089,2.0649,2.0867,59249600
15-06-1994,2.0895,2.1284,2.0747,2.1136,58860800
16-06-1994,2.1136,2.1136,2.0844,2.0867,48478400
17-06-1994,2.0844,2.0895,2.0602,2.0649,47622400
20-06-1994,2.0454,2.0844,2.0408,2.0844,45668800
21-06-1994,2.031,2.0797,2.026,2.0505,86995200
22-06-1994,2.0552,2.0649,1.9967,2.0065,82924800
23-06-1994,2.0065,2.0357,1.948,1.9531,85979200
24-06-1994,1.948,1.9628,1.9188,1.9286,81454400
27-06-1994,1.9383,2.031,1.9239,2.0213,76161600
28-06-1994,2.026,2.0552,1.9554,1.9991,99417600
29-06-1994,2.0018,2.0213,1.9823,2.0018,53435200
30-06-1994,2.0162,2.031,1.987,2.0115,40827200
01-07-1994,2.0115,2.0162,1.9426,1.9578,66622400
05-07-1994,1.9628,1.987,1.9091,1.9141,40430400
06-07-1994,1.8919,1.9091,1.8604,1.8822,89254400
07-07-1994,1.8896,1.9675,1.8678,1.9628,89667200
08-07-1994,1.9434,1.9823,1.9141,1.9286,48945600
11-07-1994,1.9336,1.9336,1.8604,1.8849,85406400
12-07-1994,1.8799,1.8799,1.8265,1.8701,83752000
